en,ta
I am going to the doctor,நான் டாக்டருக்கு போகிறேன்
He loves animals,அவன் விலங்குகளை காதலிக்கிறான்
She enjoys painting,அவள் ஓவியம் வரைவதில் மகிழ்ச்சி அடைகிறாள்
We need to buy fruits,நாம் பழங்கள் வாங்க வேண்டும்
I will help you with your homework,நான் உன் வீட்டுப்பாடத்திற்கு உதவுவேன்
He is playing the guitar,அவன் கிட்டார் வாசிக்கிறான்
She sings in the choir,அவள் பாடக குழுவில் பாடுகிறாள்
We live near the school,நாங்கள் பள்ளிக்குக் அருகில் வாழ்கிறோம்
I am cooking dinner tonight,நான் இன்று இரவு உணவு சமைக்கிறேன்
He likes to ride a bike,அவனுக்கு சைக்கிள் ஓட்ட விருப்பம்
She is taking photographs,அவள் புகைப்படம் எடுக்கிறாள்
We watched a beautiful movie,நாங்கள் ஒரு அழகான சினிமா பார்த்தோம்
I have two sisters,எனக்கு இரண்டு அக்காக்கள் உள்ளனர்
He studies computer science,அவன் கணினி அறிவியலை படிக்கிறான்
She loves to write stories,அவள் கதைகள் எழுத விரும்புகிறாள்
We are waiting for the bus,நாங்கள் பஸ்ஸை காத்திருக்கிறோம்
I like to eat ice cream,எனக்கு ஐஸ்கிரீம் சாப்பிட விருப்பம்
He is learning French,அவன் பிரெஞ்சு மொழி கற்றுக்கொள்கிறான்
She is riding a horse,அவள் குதிரையில் சவாரி செய்கிறாள்
We went shopping yesterday,நாங்கள் நேற்று கடைக்கு சென்றோம்
I will visit the doctor tomorrow,நான் நாளை டாக்டரைக் காணப்போகிறேன்
He has a bike,அவனிடம் ஒரு பைக் உள்ளது
She enjoys reading books,அவள் புத்தகங்கள் வாசிப்பதில் மகிழ்ச்சி அடைகிறாள்
We are going to a party,நாங்கள் ஒரு கொண்டாட்டத்திற்கு போகிறோம்
I am learning to play chess,நான் செஸ் விளையாட கற்றுக்கொள்கிறேன்
He is washing the car,அவன் காரை கழுவுகிறான்
She likes to drink juice,அவளுக்கு சாறு குடிக்க விருப்பம்
We had dinner at home,நாங்கள் வீட்டில் இரவு உணவு சாப்பிட்டோம்
I will call you later,நான் பிறகு உனக்கு அழைப்பேன்
He is playing basketball,அவன் பாஸ்கெட் பால் ஆடுகிறான்
She is studying hard for exams,அவள் தேர்வுகளுக்காக கடுமையாக படிக்கிறாள்
We enjoy traveling together,நாங்கள் சேர்ந்து பயணம் செய்ய விரும்புகிறோம்
I have a question,எனக்கு ஒரு கேள்வி உள்ளது
He loves to dance,அவன் நடனம் விரும்புகிறான்
She is visiting her grandmother,அவள் தாத்தி வீட்டுக்கு சென்று கொண்டிருக்கிறாள்
We are cleaning the house today,நாம் இன்று வீட்டை சுத்தம் செய்கிறோம்
I want to learn cooking,நான் சமையல் கற்றுக்கொள்ள விரும்புகிறேன்
I enjoy reading books,நான் புத்தகங்கள் வாசிப்பதில் மகிழ்கிறேன்
She is baking a cake,அவள் கேக் சுடுகிறாள்
He likes to play cricket,அவனுக்கு கிரிக்கெட் விளையாட பிடிக்கும்
We went to the park yesterday,நாங்கள் நேற்று பூங்காவிற்கு சென்றோம்
I will visit my friend tomorrow,நான் நாளை என் நண்பரை பார்க்க போகிறேன்
She is learning to drive a car,அவள் காரை ஓட்ட கற்றுக்கொண்டிருக்கிறாள்
He is playing the piano beautifully,அவன் அழகாக பியானோ வாசிக்கிறான்
We are going to the library now,நாங்கள் இப்போது நூலகத்திற்கு போகிறோம்
I need to buy some vegetables,எனக்கு சில காய்கறிகள் வாங்க வேண்டும்
She speaks three languages,அவள் மூன்று மொழிகள் பேசுகிறாள்
He is fixing the broken chair,அவன் உடைந்த நாற்காலியை சரி செய்கிறான்
We are watching a new movie,நாங்கள் புதிய சினிமாவைக் காண்கிறோம்
I will call you in the evening,நான் மாலை நேரத்தில் உன்னை அழைப்பேன்
She likes to draw cartoons,அவள் கார்டூன் வரைப்பதை விரும்புகிறாள்
He is cooking dinner tonight,அவன் இன்று இரவு உணவு சமைக்கிறான்
We have a meeting tomorrow morning,நாளை காலை நமக்கு ஒரு கூட்டம் உள்ளது
I am writing a letter to my friend,நான் என் நண்பருக்கு ஒரு கடிதம் எழுதுகிறேன்
She is planting flowers in the garden,அவள் தோட்டத்தில் மலர்கள் நடக்கிறாள்
He enjoys playing video games,அவனுக்கு வீடியோ கேம்கள் ஆடுவது பிடிக்கும்
We are going to the beach next week,நாங்கள் அடுத்த வாரம் கடற்கரைக்கு போகிறோம்
I want to learn how to swim,நான் நீந்துவது கற்றுக்கொள்ள விரும்புகிறேன்
She has a pet cat at home,அவளுக்கு வீட்டில் ஒரு செல்ல பூனை உள்ளது
He is reading a newspaper every morning,அவன் ஒவ்வொரு காலை பத்திரிக்கை வாசிக்கிறான்
We stayed at a hotel during our trip,நமது பயணத்தின் போது நாங்கள் ஓர் ஹோட்டலில் தங்கினோம்
I need to finish my homework,எனது வீட்டுப்பாடத்தை முடிக்க வேண்டும்
She enjoys listening to classical music,அவள் பாரம்பரிய இசை கேட்க விரும்புகிறாள்
He likes to go hiking on weekends,அவனுக்கு வார இறுதியில் மலையொற்றல் பிடிக்கும்
We are planning a birthday party,நாங்கள் பிறந்த நாள் கொண்டாட்டத்தை திட்டமிடுகிறோம்
I have an appointment with the doctor,எனக்கு டாக்டருடன் ஒரு சந்திப்பு உள்ளது
She is wearing a blue dress today,அவள் இன்று நீல உடை அணிந்திருக்கிறாள்
He bought a new bicycle yesterday,அவன் நேற்று புதிய சைக்கிள் வாங்கினான்
We are going to watch a cricket match,நாங்கள் கிரிக்கெட் போட்டியைப் பார்க்க போகிறோம்
I like to drink coffee in the morning,நான் காலை நேரத்தில் காபி குடிக்க விரும்புகிறேன்
She is helping her mother in the kitchen,அவள் சமையலறையில் தாய்க்கு உதவுகிறாள்
He is studying for his exams,அவன் தனது தேர்வுகளுக்காக படிக்கிறான்
We went shopping for clothes yesterday,நாம் நேற்று உடைகள் வாங்க சென்றோம்
I want to learn to play the guitar,நான் கிட்டார் வாசிக்க கற்றுக்கொள்ள விரும்புகிறேன்
She is taking photographs in the park,அவள் பூங்காவில் புகைப்படம் எடுக்கிறாள்
He is fixing the leaking tap,அவன் leaking குழாயை சரி செய்கிறான்
We are going to a wedding tomorrow,நாளை நாங்கள் ஒரு திருமணத்திற்கு போகிறோம்
I have a headache today,இன்று எனக்கு தலைவலி உள்ளது
She enjoys reading mystery novels,அவள் மர்ம நாவல்கள் வாசிப்பதில் மகிழ்கிறாள்
He is playing basketball after school,அவன் பள்ளிக்குப் பிறகு பாஸ்கெட்ட்பால் ஆடுகிறான்
We are going to meet our relatives,நாங்கள் எங்கள் உறவினரை சந்திக்க போகிறோம்
I like to eat fresh fruits,எனக்கு புது பழங்கள் சாப்பிட விருப்பம்
She is practicing yoga every morning,அவள் ஒவ்வொரு காலை யோகா பயிற்சி செய்கிறாள்
He helps his father in the garden,அவன் தந்தைக்கு தோட்டத்தில் உதவுகிறான்
We visited a historical monument,நாங்கள் ஒரு வரலாற்று நினைவுச்சின்னத்துக்கு சென்றோம்
I am learning to speak Tamil,நான் தமிழ் பேச கற்றுக்கொள்கிறேன்
She is cleaning the house today,அவள் இன்று வீட்டை சுத்தம் செய்கிறாள்
He bought a new laptop last week,அவன் கடந்த வாரம் புதிய லேப்டாப்பை வாங்கினான்
We are planning a picnic this weekend,நாம் இந்த வார இறுதியில் பிக்னிக் திட்டமிடுகிறோம்
I need to send an email,எனக்கு ஒரு மின்னஞ்சல் அனுப்ப வேண்டும்
She is wearing a red hat,அவள் சிவப்பு தொப்பி அணிந்திருக்கிறாள்
He is washing his car,அவன் தன் காரை கழுவுகிறான்
We had dinner at a restaurant last night,நாங்கள் நேற்று இரவு உணவகத்தில் இரவு உணவு சாப்பிட்டோம்
I want to learn photography,நான் புகைப்படக்கலை கற்றுக்கொள்ள விரும்புகிறேன்
She loves to dance classical dance,அவள் பாரம்பரிய நடனம் செய்ய விரும்புகிறாள்
He is riding a motorcycle,அவன் மோட்டார்சைக்கிளில் சவாரி செய்கிறான்
We are watching a football match on TV,நாங்கள் டிவியில் கால்பந்து போட்டி பார்க்கிறோம்
I have a dentist appointment tomorrow,எனக்கு நாளை பல் மருத்துவரிடம் சந்திப்பு உள்ளது
She is reading a newspaper in the morning,அவள் காலை பத்திரிக்கை வாசிக்கிறாள்
He works in a big company,அவன் ஒரு பெரிய நிறுவனத்தில் வேலை செய்கிறான்
We went on a long drive yesterday,நாங்கள் நேற்று நீண்ட ஓட்டத்திற்கு சென்றோம்
I want to buy a new phone,நான் புதிய கைபேசி வாங்க விரும்புகிறேன்
She is making a chocolate cake,அவள் சாக்லேட் கேக் செய்கிறாள்
He is playing football with his friends,அவன் தனது நண்பர்களுடன் கால்பந்து ஆடுகிறான்
We visited the zoo last weekend,நாங்கள் கடந்த வார இறுதியில் உயிரியல் பூங்காவுக்கு சென்றோம்
I am studying for my final exams,நான் என் இறுதி தேர்வுகளுக்காக படிக்கிறேன்
She likes to write poems,அவள் கவிதைகள் எழுத விரும்புகிறாள்
He is watching a documentary film,அவன் ஒரு ஆவணப்படத்தைப் பார்க்கிறான்
We are going to the museum next week,நாங்கள் அடுத்த வாரம் அருங்காட்சியகத்திற்கு போகிறோம்
I need to buy a birthday gift,நான் பிறந்த நாள் பரிசு வாங்க வேண்டும்
She is learning how to cook,அவள் சமையல் கற்கிறாள்
